_id,finishedAt,gameLobbyId,treatmentId,roundIds,playerIds,batchId,createdAt
gJsuWnLTBMh5y4eCK,2021-03-05T20:29:22Z,gJsuWnLTBMh5y4eCK,Sp4ZsQfFWLbNshvoM,"6ymnvH8kP68pRsfp9,5M4K6htJvJkMvKRkJ,kDMicJQ52xM7ikjok",W2CPFYCzN8kmRsiTz,TbTGQDgG3aac3Xs4i,2021-03-05T20:29:21Z
KZRGmHoiFF285FRaw,2021-03-05T20:31:43Z,KZRGmHoiFF285FRaw,ZrZc85MCoy5oMGRsY,"2y6Bjwg6R2hwSfNcS,rjfwh87poBxYHsDFS,jpp2Z6Em4QAKpE9zH",B9FPAorWpaNf98f58,H63QhY5RJY4dweyuG,2021-03-05T20:31:43Z
gTJdQnJbkiMDQrycG,2021-03-05T20:32:47Z,gTJdQnJbkiMDQrycG,tXi8SudwpMBwJrnMq,"FZHGWcSSyqbgZXKqj,d92Wd2Rs6ctMSujpp,LuiLSANF2owmmFXFT",wJiekNgiyNY8cn9oZ,rcwiCos7Ri49yBFzy,2021-03-05T20:32:47Z
we7zFNjaGub3MsyRn,2021-03-05T21:31:07Z,we7zFNjaGub3MsyRn,2GG93MCADu6QAyoxk,"FKkFWWnas7jtqASxJ,gg2xp8rgokcPtPWr4,fQGoWMDCptQPNDffJ",sp5JSgyETEs9RBT9D,YBy5oQKjL6nJH6gMX,2021-03-05T21:29:40Z
e6SDqbaxRpruJDTPH,2021-03-05T21:37:53Z,e6SDqbaxRpruJDTPH,bSFtXoybLdfbxAvuC,"nSZHzsAqeqL9auc5Z,akPbM4ZZkrDPBizD2,eiJ2PMySCePvY7t86",do3Tw8Ho5XzgkJS3b,CQ3tW3gwBWSWXKPws,2021-03-05T21:33:26Z
r4JkDXtbhTr2wjwjD,,r4JkDXtbhTr2wjwjD,Sp4ZsQfFWLbNshvoM,"hQ32X8rQ2325vRbxR,SfCs8rZCou8QqSkLG,bniFu5WDbCqMeYvhx",EBSrzyaofnXoszzob,Qgm2afrWDjdyK3fCe,2021-03-05T22:48:49Z
BqSJezkCBKa6C9vPc,2021-03-06T01:25:38Z,BqSJezkCBKa6C9vPc,Sp4ZsQfFWLbNshvoM,"naKDminBRokT9huFa,PP46qyPMQrjK5bNjq,PSaEaupyf5gEENwyy",eLq5GkYWfcTw2ydfp,fW98PEkqzqJwkRHLs,2021-03-06T01:17:41Z
4T67xzravn3P8hkfw,2021-03-06T01:57:01Z,4T67xzravn3P8hkfw,bSFtXoybLdfbxAvuC,"5ynuFYDw8DogGJmCF,MKJGo9L96ydMEpdgN,LKGL2D5DEoYvgwcbd",MMDJdMqvPpNGYMM4R,fW98PEkqzqJwkRHLs,2021-03-06T01:18:36Z
7yuJtSxT89TmBHWph,2021-03-06T01:32:34Z,7yuJtSxT89TmBHWph,bSFtXoybLdfbxAvuC,"bemoWoWNhGdFd4gcN,DMKwckyotJwBJY68B,q4Ey4L8frBn4GzL68",erighEhRqBderPLvx,fW98PEkqzqJwkRHLs,2021-03-06T01:23:57Z
SfASHCxLwf8rmXRmz,2021-03-06T01:37:03Z,SfASHCxLwf8rmXRmz,Sp4ZsQfFWLbNshvoM,"frbZ5rTwwdtABbo4W,DBW8NfmrHDCdPTz48,SsD8ZSWBw9QzBTHko",wWfZjAmbkBjo2NA9H,fW98PEkqzqJwkRHLs,2021-03-06T01:25:15Z
